[23:55:46  2018-8-6] list_directory: Cannot find file/directory1: resource: /favicon.ico
[14:40:7  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico
[14:41:50  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico
[14:41:51  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, resource_dir: ../favicon.ico, update: false, response: 
[14:44:31  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:44:31  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:44:34  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:44:34  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:9  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:9  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:16  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:16  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:20  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:20  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:22  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:22  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:23  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:23  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:28  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:28  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:31  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:31  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:33  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:33  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[14:45:34  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
[14:45:34  2018-8-7] send_page: list_directory failed: resource: /favicon.ico, update: false, response: 
[15:10:16  2018-8-7] list_directory: Cannot find file/directory1: resource: /favicon.ico, resource_dir: ../favicon.ico
